#Date TemperatureAverage
1760-12-01 7.185167
1761-12-01 8.772500
1762-12-01 8.606500
1763-12-01 7.496750
1764-12-01 8.400333
1765-12-01 8.251917
1766-12-01 8.405667
1767-12-01 8.221500
1768-12-01 6.781333
1769-12-01 7.694583
1770-12-01 7.691917
1771-12-01 7.853167
1772-12-01 8.193500
1773-12-01 8.221500
1774-12-01 8.772167
1775-12-01 9.183083
1776-12-01 8.304000
1777-12-01 8.256250
1778-12-01 8.542250
1779-12-01 8.983250
1780-12-01 9.432917
1781-12-01 8.102583
1782-12-01 7.901250
1783-12-01 7.680833
1784-12-01 7.862000
1785-12-01 7.363000
1786-12-01 8.258167
1787-12-01 8.031833
1788-12-01 8.447167
1789-12-01 8.334167
1790-12-01 7.982333
1791-12-01 8.234250
1792-12-01 8.089000
1793-12-01 8.229167
1794-12-01 8.526000
1795-12-01 8.350333
1796-12-01 8.271000
1797-12-01 8.510583
1798-12-01 8.670250
1799-12-01 8.505750
1800-12-01 8.484250
1801-12-01 8.589667
1802-12-01 8.578167
1803-12-01 8.503000
1804-12-01 8.844833
1805-12-01 8.562750
1806-12-01 8.434083
1807-12-01 8.281417
1808-12-01 7.626833
1809-12-01 7.076417
1810-12-01 6.922667
1811-12-01 6.859500
1812-12-01 7.046250
1813-12-01 7.739917
1814-12-01 7.591750
1815-12-01 7.239333
1816-12-01 6.937500
1817-12-01 6.975667
1818-12-01 7.828917
1819-12-01 7.369167
1820-12-01 7.616250
1821-12-01 8.090083
1822-12-01 8.188333
1823-12-01 7.718667
1824-12-01 8.547167
1825-12-01 8.389333
1826-12-01 8.356583
1827-12-01 8.808750
1828-12-01 8.165333
1829-12-01 7.941833
1830-12-01 8.516750
1831-12-01 7.639167
1832-12-01 7.450167
1833-12-01 8.013000
1834-12-01 8.146750
1835-12-01 7.392500
1836-12-01 7.695833
1837-12-01 7.375667
1838-12-01 7.514917
1839-12-01 7.632250
1840-12-01 7.796250
1841-12-01 7.688167
1842-12-01 8.022750
1843-12-01 8.173667
1844-12-01 7.646333
1845-12-01 7.851167
1846-12-01 8.552750
1847-12-01 8.086000
1848-12-01 7.979500
1849-12-01 7.984417
1850-12-01 7.900667
1851-12-01 8.178583
1852-12-01 8.100167
1853-12-01 8.041833
1854-12-01 8.210500
1855-12-01 8.110750
1856-12-01 7.995917
1857-12-01 7.758167
1858-12-01 8.100250
1859-12-01 8.252000
1860-12-01 7.960833
1861-12-01 7.846500
1862-12-01 7.558583
1863-12-01 8.111833
1864-12-01 7.983583
1865-12-01 8.177833
1866-12-01 8.292167
1867-12-01 8.436333
1868-12-01 8.247917
1869-12-01 8.432083
1870-12-01 8.201333
1871-12-01 8.115083
1872-12-01 8.193833
1873-12-01 8.351083
1874-12-01 8.433500
1875-12-01 7.859583
1876-12-01 8.080083
1877-12-01 8.539583
1878-12-01 8.829750
1879-12-01 8.165833
1880-12-01 8.118750
1881-12-01 8.270917
1882-12-01 8.128917
1883-12-01 7.976917
1884-12-01 7.773667
1885-12-01 7.919667
1886-12-01 7.954500
1887-12-01 7.914917
1888-12-01 8.090500
1889-12-01 8.319000
1890-12-01 7.971667
1891-12-01 8.019333
1892-12-01 8.065833
1893-12-01 8.056750
1894-12-01 8.161000
1895-12-01 8.147000
1896-12-01 8.214917
1897-12-01 8.293333
1898-12-01 8.178000
1899-12-01 8.396333
1900-12-01 8.501583
1901-12-01 8.541917
1902-12-01 8.304417
1903-12-01 8.220167
1904-12-01 8.090917
1905-12-01 8.225167
1906-12-01 8.379083
1907-12-01 7.947167
1908-12-01 8.186083
1909-12-01 8.178250
1910-12-01 8.223000
1911-12-01 8.177000
1912-12-01 8.165417
1913-12-01 8.297750
1914-12-01 8.590500
1915-12-01 8.593167
1916-12-01 8.225250
1917-12-01 8.023333
1918-12-01 8.130833
1919-12-01 8.382250
1920-12-01 8.358750
1921-12-01 8.571000
1922-12-01 8.408000
1923-12-01 8.422167
1924-12-01 8.506833
1925-12-01 8.534417
1926-12-01 8.728833
1927-12-01 8.522083
1928-12-01 8.632167
1929-12-01 8.242417
1930-12-01 8.633583
1931-12-01 8.719250
1932-12-01 8.705250
1933-12-01 8.338250
1934-12-01 8.628333
1935-12-01 8.515750
1936-12-01 8.554000
1937-12-01 8.698333
1938-12-01 8.863667
1939-12-01 8.760333
1940-12-01 8.764667
1941-12-01 8.768667
1942-12-01 8.728417
1943-12-01 8.755083
1944-12-01 8.845000
1945-12-01 8.584833
1946-12-01 8.676917
1947-12-01 8.797083
1948-12-01 8.746750
1949-12-01 8.586750
1950-12-01 8.365250
1951-12-01 8.625667
1952-12-01 8.638250
1953-12-01 8.873750
1954-12-01 8.560667
1955-12-01 8.626250
1956-12-01 8.279583
1957-12-01 8.732500
1958-12-01 8.773750
1959-12-01 8.732667
1960-12-01 8.583750
1961-12-01 8.797667
1962-12-01 8.745917
1963-12-01 8.856000
1964-12-01 8.409667
1965-12-01 8.527417
1966-12-01 8.599333
1967-12-01 8.700083
1968-12-01 8.516333
1969-12-01 8.595083
1970-12-01 8.700917
1971-12-01 8.599250
1972-12-01 8.499583
1973-12-01 8.948250
1974-12-01 8.467500
1975-12-01 8.744833
1976-12-01 8.347250
1977-12-01 8.850250
1978-12-01 8.692750
1979-12-01 8.733417
1980-12-01 8.980333
1981-12-01 9.165833
1982-12-01 8.639167
1983-12-01 9.028167
1984-12-01 8.691833
1985-12-01 8.658000
1986-12-01 8.833583
1987-12-01 8.994417
1988-12-01 9.201583
1989-12-01 8.922000
1990-12-01 9.234167
1991-12-01 9.179417
1992-12-01 8.836583
1993-12-01 8.866583
1994-12-01 9.038750
1995-12-01 9.347083
1996-12-01 9.038917
1997-12-01 9.202583
1998-12-01 9.522667
1999-12-01 9.285083
2000-12-01 9.201167
2001-12-01 9.414583
2002-12-01 9.570417
2003-12-01 9.525583
2004-12-01 9.324583
2005-12-01 9.700917
2006-12-01 9.532500
2007-12-01 9.732167
2008-12-01 9.431750
2009-12-01 9.505250
2010-12-01 9.703083
2011-12-01 9.516000
2012-12-01 9.507333
2013-12-01 9.606500
2014-12-01 9.570667
2015-12-01 9.831000
